name,e_y,e_psi,u,u_overspeed,target_speed_state,v,r,steering_command,steering_rate,target_speed_rate,steering_rate_change,target_speed_rate_change,terminal_multiplier
production,150,10,50,150,20,0,1.5,5,5,0.5,10,5,3
only_high_lateral,1500,10,50,150,20,0,1.5,5,5,0.5,10,5,3
only_high_heading,150,50,50,150,20,0,1.5,5,5,0.5,10,5,3
only_high_velocity,150,10,200,200,20,0,1.5,5,5,0.5,10,5,3
only_bachelor_control_terms,150,10,50,150,20,5,1.5,2,5,0.5,5,5,3
moderate_user_profile,100,2,200,200,20,0,1.5,5,5,0.5,10,5,3
very_low_heading,100,0.25,200,200,20,0,1.5,5,5,0.5,10,5,3
user_moderate_low_heading,100,1,200,200,20,0,1.5,3,5,0.5,10,5,3
user_moderate_low_heading_speed,150,1,200,200,20,0,1.5,3,5,0.5,10,5,3
user_low_lateral_low_heading_speed,75,1,200,200,20,0,1.5,3,5,0.5,10,5,3
user_balanced_high_speed,100,1,300,250,20,0,1.5,3,5,0.5,10,5,3
user_low_heading_high_speed,150,0.5,300,250,20,0,1.5,3,5,0.5,10,5,3
mapped_bachelor_moderate,500,5,200,200,20,2,1.5,3,5,0.5,5,5,3
user_moderate_balanced,125,2,200,200,20,5,1.5,3,5,0.5,10,5,3
user_moderate_balanced_steer5,125,2,200,200,20,5,1.5,5,5,0.5,10,5,3
user_moderate_speed_v5,150,2,250,250,20,5,1.5,3,5,0.5,10,5,3
user_moderate_speed_v4,125,2,225,225,20,5,1.5,3,5,0.5,10,5,3
user_moderate_speed_v4_steer5,125,2,225,225,20,5,1.5,5,5,0.5,10,5,3
