file,source_run,role,allowed_runtime_inputs,offline_only_fields,quality,status
01_reference/raceline_autodrive_mintime_exact.csv,f1tenth_planning/trajectories/autodrive_mintime_exact,Exact production raceline used by the recent tests,trajectory reference,none,313 samples / 53.106 m,accepted reference
02_pp_exact_baseline/pp_exact_runtime_state.csv,pp_new_mintime_exact_20260918,PP baseline odom EKF and AMCL state streams,/odom /ekf_odom /current_map_pose,none,9975 map-pose rows / 9982 odom rows,clean baseline
02_pp_exact_baseline/pp_exact_controller_trace.csv,pp_new_mintime_exact_20260918,PP commands and diagnostics,/cmd/speed,none,9982 command rows,clean baseline
02_pp_exact_baseline/pp_exact_imu.csv,pp_new_mintime_exact_20260918,IMU input for offline odometry analysis,IMU,none,9982 rows,clean baseline
02_pp_exact_baseline/pp_exact_encoders.csv,pp_new_mintime_exact_20260918,Left/right encoder input for offline odometry analysis,encoders,none,19964 rows,clean baseline
02_pp_exact_baseline/pp_exact_gt_odom.csv,pp_new_mintime_exact_20260918,Simulator truth for offline error attribution,never legal at runtime,simulator pose velocity acceleration and collision context,9982 rows,diagnostic only
02_pp_exact_baseline/pp_exact_bridge_requests.csv,pp_new_mintime_exact_20260918,Bridge request and packet timing plus simulator diagnostics,never legal at runtime,simulator packet fields,9982 rows,diagnostic only
02_pp_exact_baseline/pp_exact_events.csv.gz,pp_new_mintime_exact_20260918,Full event stream for timestamp and topic reconstruction,only legal ROS topics at runtime,packet embedded simulator diagnostics,compressed CSV,clean baseline
03_pp_mpc_shadow_clean/shadow_events.csv.gz,pp_mpc_shadow_icra_20260918,Full clean PP plus MPC-shadow event stream,legal odom map pose commands and raceline only,simulator truth and packet fields,compressed CSV,clean 16.27-lap holdout
03_pp_mpc_shadow_clean/shadow_runtime_state.csv,pp_mpc_shadow_icra_20260918,Legal state streams for shadow replay,/odom /ekf_odom /current_map_pose,none,13031 map-pose cycles,clean holdout
03_pp_mpc_shadow_clean/shadow_controller_trace.csv,pp_mpc_shadow_icra_20260918,PP command and MPC shadow diagnostics,/cmd/speed and diagnostics,none,large diagnostic stream,clean holdout
03_pp_mpc_shadow_clean/shadow_gt_odom.csv,pp_mpc_shadow_icra_20260918,Simulator truth for offline prediction error attribution,never legal at runtime,simulator truth,13031 rows,diagnostic only
04_mpc_authority_partial/mpc_authority_4mps_partial_events.csv,mpc_authority_4mps_attempt2_20260918,Partial authority-run event stream,legal ROS topics only,simulator packet fields,490 state cycles,partial failure capture
04_mpc_authority_partial/mpc_authority_4mps_partial_runtime_state.csv,mpc_authority_4mps_attempt2_20260918,Authority-run legal state streams,/odom /ekf_odom /current_map_pose,none,485 map-pose rows,partial failure capture
04_mpc_authority_partial/mpc_authority_4mps_partial_gt_odom.csv,mpc_authority_4mps_attempt2_20260918,Authority-run simulator truth for failure attribution,never legal at runtime,simulator truth,491 rows,diagnostic only
05_mpc_replay_diagnostics/live_shadow_mpc_cycles.csv,13_live_rejection_diagnostics_20260918,Per-cycle MPC solver and nonlinear diagnostic data,legal replay states and raceline,none,13036 cycles,negative diagnostic holdout
05_mpc_replay_diagnostics/live_shadow_adaptive_actions.csv,13_live_rejection_diagnostics_20260918,Adaptive candidate actions and prediction metrics,legal replay states and raceline,none,large action stream,negative diagnostic holdout
05_mpc_replay_diagnostics/live_shadow_rejection_categories.csv,13_live_rejection_diagnostics_20260918,Aggregate rejection classes,legal replay states and raceline,none,1288 residual rejects / 6 missing-state rejects,negative diagnostic holdout
05_mpc_replay_diagnostics/recovery_policy_cycles.csv,24_recovery_policy_replay_20260919,Recovery-policy cycle metrics,legal replay states and raceline,none,13030 cycles,clean parity replay
05_mpc_replay_diagnostics/recovery_policy_schedule_summary.csv,24_recovery_policy_replay_20260919,Stage-by-stage recovery corridor schedule,legal replay states and raceline,none,stage-expanded CSV,clean parity replay
05_mpc_replay_diagnostics/recovery_policy_residual_vs_feasibility.csv,24_recovery_policy_replay_20260919,Residual versus feasibility comparison,legal replay states and raceline,none,clean and diagnostic scaling cases,comparison evidence
05_mpc_replay_diagnostics/ey_feasibility_recovery_actions.csv,23_ey_feasibility_recovery_20260919,Original e_y feasibility recovery actions,legal replay states and raceline,none,stage-expanded action stream,recovery diagnostic
live_test_summary.csv,live tests performed 2026-09-19,Summary of newest authority and PP tests,none,live simulator metrics from ROS queries and logs,3 rows,not raw telemetry
