event_stream,candidate,e_y,e_psi,u,u_overspeed,target_speed_state,v,r,steering_command,steering_rate,target_speed_rate,steering_rate_change,target_speed_rate_change,terminal_multiplier,return_code,solves,accepted,degraded,rejected,reject_input,reject_solver,reject_residual,reject_regularization,reject_nonlinear,accepted_fraction,nonlinear_rejection_fraction,residual_rejection_fraction,min_predicted_clearance,residual_p95,solve_ms,iterations,first_action_delta,prediction,offline_screen_score,stderr
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,only_high_lateral,1500.0,10.0,50.0,150.0,20.0,0.0,1.5,5.0,5.0,0.5,10.0,5.0,3.0,1,5813,5609,217,204,0,0,15,0,189,0.9649062446241183,0.03251333218647858,0.002580423189403062,0.000895,"0.009994,0.009831","0.549513,4.098845,5.288071,6.987145","9.000000,99.000000,100.000000","0.462654,4.749663,0.316164,8.466558","30,0.025000",0.9480044727335283,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,mapped_bachelor_moderate,500.0,5.0,200.0,200.0,20.0,2.0,1.5,3.0,5.0,0.5,5.0,5.0,3.0,1,5813,5595,170,218,0,0,8,0,210,0.9624978496473422,0.03612592465164287,0.0013762257010149664,0.001012,"0.009934,0.009718","0.638190,3.756382,5.185379,8.124664","9.000000,67.000000,100.000000","0.258280,4.794242,0.416758,8.767278","30,0.025000",0.9440908308962671,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,only_high_heading,150.0,50.0,50.0,150.0,20.0,0.0,1.5,5.0,5.0,0.5,10.0,5.0,3.0,1,5813,5533,39,280,0,0,5,0,275,0.9518321004644762,0.04730775847238947,0.000860141063134354,-0.000110,"0.009663,0.009762","0.540366,1.033193,4.522111,6.745090","8.000000,14.000000,100.000000","0.151601,4.562876,0.284506,8.110325","30,0.025000",0.9277431859624978,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,only_bachelor_control_terms,150.0,10.0,50.0,150.0,20.0,5.0,1.5,2.0,5.0,0.5,5.0,5.0,3.0,1,5813,5530,129,283,0,0,8,0,275,0.9513160158265955,0.04730775847238947,0.0013762257010149664,-0.000334,"0.009796,0.009762","0.547359,2.601440,4.563098,6.247114","9.000000,41.000000,100.000000","0.153810,4.538310,0.284069,8.115496","30,0.025000",0.926650080165147,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed125_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed125_steer5_authority_20260920/events.csv,only_high_lateral,1500.0,10.0,50.0,150.0,20.0,0.0,1.5,5.0,5.0,0.5,10.0,5.0,3.0,1,4543,4310,116,233,0,0,16,0,217,0.9487123046445081,0.04776579352850539,0.0035219018269865726,0.001891,"0.009990,0.009824","0.594318,4.304303,5.466708,7.111931","9.000000,92.000000,100.000000","0.437165,2.777151,0.332373,9.277422","30,0.025000",0.9239489324235087,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,production,150.0,10.0,50.0,150.0,20.0,0.0,1.5,5.0,5.0,0.5,10.0,5.0,3.0,1,5813,5514,133,299,0,0,4,0,295,0.9485635644245656,0.05074832272492689,0.0006881128505074832,-0.000428,"0.009812,0.009750","0.535046,2.517432,4.565723,6.768144","9.000000,39.000000,100.000000","0.135871,3.224240,0.283664,8.115716","30,0.025000",0.9221613748494754,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,user_moderate_speed_v5,150.0,2.0,250.0,250.0,20.0,5.0,1.5,3.0,5.0,0.5,10.0,5.0,3.0,1,5813,5509,151,304,0,0,9,0,295,0.9477034233614313,0.05074832272492689,0.0015482539136418372,-0.000307,"0.009933,0.009709","0.653719,3.199595,4.895313,6.291658","10.000000,53.000000,100.000000","0.133324,3.232072,0.458669,8.899567","30,0.025000",0.9213281985205575,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,user_moderate_low_heading_speed,150.0,1.0,200.0,200.0,20.0,0.0,1.5,3.0,5.0,0.5,10.0,5.0,3.0,1,5813,5506,160,307,0,0,11,0,296,0.9471873387235507,0.05092035093755376,0.0018923103388955788,0.000420,"0.009936,0.009728","0.596121,3.132108,4.819480,6.731905","9.000000,56.000000,100.000000","0.135197,3.232777,0.418243,8.794445","30,0.025000",0.9212540856700498,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,only_high_velocity,150.0,10.0,200.0,200.0,20.0,0.0,1.5,5.0,5.0,0.5,10.0,5.0,3.0,1,5813,5506,128,307,0,0,8,0,299,0.9471873387235507,0.05143643557543437,0.0013762257010149664,0.000471,"0.009911,0.009716","0.581573,2.596662,4.643339,6.310814","9.000000,40.000000,100.000000","0.136726,3.223898,0.420082,8.794681","30,0.025000",0.9211250645105797,
/workspace/src/sdu_apex_autodrive/artifacts/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/mpc_weights_u50_ey150_overspeed150_steer5_authority_20260920/events.csv,user_low_heading_high_speed,150.0,0.5,300.0,250.0,20.0,0.0,1.5,3.0,5.0,0.5,10.0,5.0,3.0,1,5813,5504,161,309,0,0,11,0,298,0.946843282298297,0.0512644073628075,0.0018923103388955788,0.000420,"0.009941,0.009668","0.678897,3.234511,4.834769,6.567316","10.000000,57.000000,100.000000","0.134310,3.233228,0.494934,8.897186","30,0.025000",0.9207380010321693,
