feature,bin,cycles,accepted,rejected,rejection_rate_pct,feature_coverage_pct
abs_curvature_per_m,0.05-0.10,658,658,0,0.0,64.71465076660988
abs_curvature_per_m,0.10-0.20,468,468,0,0.0,64.71465076660988
abs_curvature_per_m,0.20-0.40,526,526,0,0.0,64.71465076660988
abs_curvature_per_m,<0.05,795,795,0,0.0,64.71465076660988
abs_curvature_per_m,>=0.40,592,592,0,0.0,64.71465076660988
abs_curvature_per_m,missing,1657,0,1657,,64.71465076660988
abs_steering_rad,0.05-0.10,756,596,160,21.164021164021165,99.82964224872232
abs_steering_rad,0.10-0.20,1121,712,409,36.48528099910794,99.82964224872232
abs_steering_rad,0.20-0.35,974,622,352,36.139630390143736,99.82964224872232
abs_steering_rad,<0.05,1092,905,187,17.124542124542124,99.82964224872232
abs_steering_rad,>=0.35,745,204,541,72.61744966442953,99.82964224872232
abs_steering_rad,missing,8,0,8,,99.82964224872232
abs_steering_rate_radps,0.25-0.75,837,837,0,0.0,99.82964224872232
abs_steering_rate_radps,0.75-1.5,834,834,0,0.0,99.82964224872232
abs_steering_rate_radps,1.5-2.5,442,442,0,0.0,99.82964224872232
abs_steering_rate_radps,<0.25,2356,707,1649,69.99151103565364,99.82964224872232
abs_steering_rate_radps,>=2.5,219,219,0,0.0,99.82964224872232
abs_steering_rate_radps,missing,8,0,8,,99.82964224872232
abs_yaw_rate_radps,0.25-0.5,745,492,253,33.95973154362416,99.82964224872232
abs_yaw_rate_radps,0.5-1.0,1040,696,344,33.07692307692308,99.82964224872232
abs_yaw_rate_radps,1.0-2.0,1108,728,380,34.29602888086642,99.82964224872232
abs_yaw_rate_radps,<0.25,1442,953,489,33.91123439667129,99.82964224872232
abs_yaw_rate_radps,>=2.0,353,170,183,51.8413597733711,99.82964224872232
abs_yaw_rate_radps,missing,8,0,8,,99.82964224872232
corridor_slack_m,missing,4696,3039,1657,,0.0
curvature_schedule_error_per_m,missing,4696,3039,1657,,0.0
lateral_accel_proxy_mps2,1-2,862,522,340,39.443155452436194,99.82964224872232
lateral_accel_proxy_mps2,2-4,1032,792,240,23.25581395348837,99.82964224872232
lateral_accel_proxy_mps2,4-8,619,438,181,29.24071082390953,99.82964224872232
lateral_accel_proxy_mps2,<1,2175,1287,888,40.827586206896555,99.82964224872232
lateral_accel_proxy_mps2,missing,8,0,8,,99.82964224872232
nonsmooth_columns,10-25,1321,913,408,30.88569265707797,99.82964224872232
nonsmooth_columns,25-50,2978,1826,1152,38.683680322364005,99.82964224872232
nonsmooth_columns,<10,389,300,89,22.87917737789203,99.82964224872232
nonsmooth_columns,missing,8,0,8,,99.82964224872232
operating_mode,braking_command,859,2,857,99.76717112922002,100.0
operating_mode,near_zero_speed_slew,130,0,130,100.0,100.0
operating_mode,powered_acceleration_command,3699,3037,662,17.896728845633955,100.0
operating_mode,unknown,8,0,8,100.0,100.0
progress_schedule_error_m,missing,4696,3039,1657,,0.0
rho_changes,missing,4696,3039,1657,,0.0
solver_iterations,25-50,1465,1453,12,0.8191126279863481,99.82964224872232
solver_iterations,50-75,752,720,32,4.25531914893617,99.82964224872232
solver_iterations,75-100,60,30,30,50.0,99.82964224872232
solver_iterations,<25,772,687,85,11.010362694300518,99.82964224872232
solver_iterations,>=100,1639,149,1490,90.9090909090909,99.82964224872232
solver_iterations,missing,8,0,8,,99.82964224872232
source_age_ms,0-25,4688,3039,1649,35.174914675767916,99.82964224872232
source_age_ms,missing,8,0,8,,99.82964224872232
speed_mps,2-4,2349,1910,439,18.68880374627501,99.82964224872232
speed_mps,4-6,297,284,13,4.377104377104377,99.82964224872232
speed_mps,6-8,8,8,0,0.0,99.82964224872232
speed_mps,<2,2034,837,1197,58.849557522123895,99.82964224872232
speed_mps,missing,8,0,8,,99.82964224872232
steering_reversal,False,3931,2282,1649,41.948613584329685,100.0
steering_reversal,True,757,757,0,0.0,100.0
steering_reversal,unknown,8,0,8,100.0,100.0
