feature,bin,cycles,accepted,rejected,rejection_rate_pct,feature_coverage_pct
abs_curvature_per_m,0.05-0.10,1084,1084,0,0.0,99.95397361153728
abs_curvature_per_m,0.10-0.20,1728,1728,0,0.0,99.95397361153728
abs_curvature_per_m,0.20-0.40,1687,1687,0,0.0,99.95397361153728
abs_curvature_per_m,<0.05,1698,1698,0,0.0,99.95397361153728
abs_curvature_per_m,>=0.40,6833,5545,1288,18.849699985365138,99.95397361153728
abs_curvature_per_m,missing,6,0,6,,99.95397361153728
abs_steering_rad,0.05-0.10,1602,1602,0,0.0,99.95397361153728
abs_steering_rad,0.10-0.20,1878,1878,0,0.0,99.95397361153728
abs_steering_rad,0.20-0.35,1625,1625,0,0.0,99.95397361153728
abs_steering_rad,<0.05,7394,6106,1288,17.419529348120097,99.95397361153728
abs_steering_rad,>=0.35,531,531,0,0.0,99.95397361153728
abs_steering_rad,missing,6,0,6,,99.95397361153728
abs_steering_rate_radps,0.25-0.75,3031,3031,0,0.0,99.95397361153728
abs_steering_rate_radps,0.75-1.5,2810,2810,0,0.0,99.95397361153728
abs_steering_rate_radps,1.5-2.5,20,20,0,0.0,99.95397361153728
abs_steering_rate_radps,<0.25,7163,5875,1288,17.981292754432502,99.95397361153728
abs_steering_rate_radps,>=2.5,6,6,0,0.0,99.95397361153728
abs_steering_rate_radps,missing,6,0,6,,99.95397361153728
abs_yaw_rate_radps,0.25-0.5,1214,1214,0,0.0,99.95397361153728
abs_yaw_rate_radps,0.5-1.0,2937,2937,0,0.0,99.95397361153728
abs_yaw_rate_radps,1.0-2.0,3256,3255,1,0.030712530712530713,99.95397361153728
abs_yaw_rate_radps,<0.25,5120,3833,1287,25.13671875,99.95397361153728
abs_yaw_rate_radps,>=2.0,503,503,0,0.0,99.95397361153728
abs_yaw_rate_radps,missing,6,0,6,,99.95397361153728
corridor_slack_m,missing,13036,11742,1294,,0.0
curvature_schedule_error_per_m,missing,13036,11742,1294,,0.0
lateral_accel_proxy_mps2,1-2,1306,1306,0,0.0,99.95397361153728
lateral_accel_proxy_mps2,2-4,4844,4844,0,0.0,99.95397361153728
lateral_accel_proxy_mps2,4-8,1778,1777,1,0.0562429696287964,99.95397361153728
lateral_accel_proxy_mps2,<1,5004,3717,1287,25.719424460431654,99.95397361153728
lateral_accel_proxy_mps2,>=8,98,98,0,0.0,99.95397361153728
lateral_accel_proxy_mps2,missing,6,0,6,,99.95397361153728
nonsmooth_columns,10-25,1968,1967,1,0.0508130081300813,99.95397361153728
nonsmooth_columns,25-50,7377,6090,1287,17.44611630744205,99.95397361153728
nonsmooth_columns,<10,3685,3685,0,0.0,99.95397361153728
nonsmooth_columns,missing,6,0,6,,99.95397361153728
operating_mode,braking_command,143,142,1,0.6993006993006993,100.0
operating_mode,near_zero_speed_slew,1287,0,1287,100.0,100.0
operating_mode,powered_acceleration_command,11600,11600,0,0.0,100.0
operating_mode,unknown,6,0,6,100.0,100.0
progress_schedule_error_m,missing,13036,11742,1294,,0.0
rho_changes,missing,13036,11742,1294,,0.0
solver_iterations,25-50,3780,3780,0,0.0,99.95397361153728
solver_iterations,50-75,163,163,0,0.0,99.95397361153728
solver_iterations,75-100,5,5,0,0.0,99.95397361153728
solver_iterations,<25,5211,5211,0,0.0,99.95397361153728
solver_iterations,>=100,3871,2583,1288,33.273056057866185,99.95397361153728
solver_iterations,missing,6,0,6,,99.95397361153728
source_age_ms,0-25,13030,11742,1288,9.884881043745203,99.95397361153728
source_age_ms,missing,6,0,6,,99.95397361153728
speed_mps,2-4,4402,4401,1,0.02271694684234439,99.95397361153728
speed_mps,4-6,2261,2261,0,0.0,99.95397361153728
speed_mps,6-8,881,881,0,0.0,99.95397361153728
speed_mps,<2,5381,4094,1287,23.917487455863224,99.95397361153728
speed_mps,>=8,105,105,0,0.0,99.95397361153728
speed_mps,missing,6,0,6,,99.95397361153728
steering_reversal,False,11699,10411,1288,11.009487990426532,100.0
steering_reversal,True,1331,1331,0,0.0,100.0
steering_reversal,unknown,6,0,6,100.0,100.0
